content,small_content,地点,类别,人数,+？
"""2020年1月26日0-12时，山东省报告新型冠状病毒感染的肺炎新增确诊病例7例，其中：济南、青岛、滨州市各新增2例确诊病例，济宁市新增1例确诊病例。
",山东省报告新型冠状病毒感染的肺炎新增确诊病例7例,山东省,确诊,7例,新增
"""2020年1月26日0-12时，山东省报告新型冠状病毒感染的肺炎新增确诊病例7例，其中：济南、青岛、滨州市各新增2例确诊病例，济宁市新增1例确诊病例。
",滨州市各新增2例确诊病例,滨州市,确诊,2例,新增
"""2020年1月26日0-12时，山东省报告新型冠状病毒感染的肺炎新增确诊病例7例，其中：济南、青岛、滨州市各新增2例确诊病例，济宁市新增1例确诊病例。
",济宁市新增1例确诊病例,济宁市,确诊,1例,新增
"截至1月26日12时，山东省累计报告新型冠状病毒感染的肺炎确诊病例46例，其中：济南市5例、青岛市8例、淄博市1例、烟台市2例、潍坊市2例、济宁市5例、威海市4例、日照市4例、临沂市7例、德州市3例、聊城市1例、滨州市3例、菏泽市1例。""
",山东省累计报告新型冠状病毒感染的肺炎确诊病例46例,山东省,确诊,46例,累计
"截至1月26日12时，山东省累计报告新型冠状病毒感染的肺炎确诊病例46例，其中：济南市5例、青岛市8例、淄博市1例、烟台市2例、潍坊市2例、济宁市5例、威海市4例、日照市4例、临沂市7例、德州市3例、聊城市1例、滨州市3例、菏泽市1例。""
",其中：济南市5例,济南市,确诊,5例,累计
"截至1月26日12时，山东省累计报告新型冠状病毒感染的肺炎确诊病例46例，其中：济南市5例、青岛市8例、淄博市1例、烟台市2例、潍坊市2例、济宁市5例、威海市4例、日照市4例、临沂市7例、德州市3例、聊城市1例、滨州市3例、菏泽市1例。""
",青岛市8例,青岛市,确诊,8例,累计
"截至1月26日12时，山东省累计报告新型冠状病毒感染的肺炎确诊病例46例，其中：济南市5例、青岛市8例、淄博市1例、烟台市2例、潍坊市2例、济宁市5例、威海市4例、日照市4例、临沂市7例、德州市3例、聊城市1例、滨州市3例、菏泽市1例。""
",淄博市1例,淄博市,确诊,1例,累计
"截至1月26日12时，山东省累计报告新型冠状病毒感染的肺炎确诊病例46例，其中：济南市5例、青岛市8例、淄博市1例、烟台市2例、潍坊市2例、济宁市5例、威海市4例、日照市4例、临沂市7例、德州市3例、聊城市1例、滨州市3例、菏泽市1例。""
",烟台市2例,烟台市,确诊,2例,累计
"截至1月26日12时，山东省累计报告新型冠状病毒感染的肺炎确诊病例46例，其中：济南市5例、青岛市8例、淄博市1例、烟台市2例、潍坊市2例、济宁市5例、威海市4例、日照市4例、临沂市7例、德州市3例、聊城市1例、滨州市3例、菏泽市1例。""
",潍坊市2例,潍坊市,确诊,2例,累计
"截至1月26日12时，山东省累计报告新型冠状病毒感染的肺炎确诊病例46例，其中：济南市5例、青岛市8例、淄博市1例、烟台市2例、潍坊市2例、济宁市5例、威海市4例、日照市4例、临沂市7例、德州市3例、聊城市1例、滨州市3例、菏泽市1例。""
",济宁市5例,济宁市,确诊,5例,累计
"截至1月26日12时，山东省累计报告新型冠状病毒感染的肺炎确诊病例46例，其中：济南市5例、青岛市8例、淄博市1例、烟台市2例、潍坊市2例、济宁市5例、威海市4例、日照市4例、临沂市7例、德州市3例、聊城市1例、滨州市3例、菏泽市1例。""
",威海市4例,威海市,确诊,4例,累计
"截至1月26日12时，山东省累计报告新型冠状病毒感染的肺炎确诊病例46例，其中：济南市5例、青岛市8例、淄博市1例、烟台市2例、潍坊市2例、济宁市5例、威海市4例、日照市4例、临沂市7例、德州市3例、聊城市1例、滨州市3例、菏泽市1例。""
",日照市4例,日照市,确诊,4例,累计
